id,locale,alias,type,entity_id
8972,fr,le Mozambique;la République du Mozambique,French Name,2123
8973,en,MZ,iso-3166-2,2123
8974,en,MOZ,iso-3166-3,2123
8975,de,Myanmar,German Name,2124
8976,es,Myanmar; Birmania,Spanish Name,2124
8977,fr,Myanmar; Birmanie,French Name,2124
8978,en,MM,iso-3166-2,2124
8979,en,MMR,iso-3166-3,2124
8980,en,Burma,abbreviation,2124
8981,de,Namibia,German Name,2125
8982,es,República de Namibia;Namibia,Spanish Name,2125
8983,fr,la Namibie;la République de Namibie,French Name,2125
8984,en,NAM,iso-3166-3,2125
8985,de,Nauru,German Name,2126
8986,es,República de Nauru;Nauru,Spanish Name,2126
8987,fr,Nauru;la République de Nauru,French Name,2126
8988,en,NR,iso-3166-2,2126
8989,en,NRU,iso-3166-3,2126
8990,de,Nepal,German Name,2127
8991,es,República Federal Democrática de Nepal;Nepal,Spanish Name,2127
8992,fr,le Népal,French Name,2127
8993,en,NP,iso-3166-2,2127
8994,en,NPL,iso-3166-3,2127
8995,de,Niederlande,German Name,2128
8996,es,Reino de los Países Bajos;Países Bajos,Spanish Name,2128
8997,fr,Pays-Bas,French Name,2128
8998,en,NL,iso-3166-2,2128
8999,en,NLD,iso-3166-3,2128
9000,de,Neu-Kaledonien,German Name,2129
9001,es,Nueva Caledonia,Spanish Name,2129
9002,fr,Nouvelle Calédonie,French Name,2129
9003,en,NC,iso-3166-2,2129
9004,en,NCL,iso-3166-3,2129
9005,de,Neuseeland,German Name,2130
9006,es,Nueva Zelanda,Spanish Name,2130
9007,fr,la Nouvelle-Zéland,French Name,2130
9008,en,NZ,iso-3166-2,2130
9009,en,NZL,iso-3166-3,2130
9010,de,Republik Nicaragua;Nicaragua;Nikaragua,German Name,2131
9011,es,República de Nicaragua;Nicaragua,Spanish Name,2131
9012,fr,le Nicaragua;la République du Nicaragua; Nicaragua,French Name,2131
9013,en,NI,iso-3166-2,2131
9014,en,NIC,iso-3166-3,2131
9015,de,Niger,German Name,2132
9016,es,República del Níger;Níger,Spanish Name,2132
9017,fr,le Niger;la République du Niger,French Name,2132
9018,en,NE,iso-3166-2,2132
9019,en,NER,iso-3166-3,2132
9020,de,Nigeria,German Name,2133
9021,es,República Federal de Nigeria;Nigeria,Spanish Name,2133
9022,fr,le Nigéria,French Name,2133
9023,en,NG,iso-3166-2,2133
9024,en,NGA,iso-3166-3,2133
9025,de,Niue,German Name,2134
9026,es,Niue,Spanish Name,2134
9027,fr,Niue,French Name,2134
9028,en,NU,iso-3166-2,2134
9029,en,NIU,iso-3166-3,2134
9030,de,Norfolkinsel,German Name,2135
9031,es,Isla Norfolk,Spanish Name,2135
9032,fr,Île de Norfolk,French Name,2135
9033,en,NF,iso-3166-2,2135
9034,en,NFK,iso-3166-3,2135
9035,de,Nordkorea;Nord Korea;Demokratische Volksrepublik Korea,German Name,2136
9036,es,República Popular Democrática de Corea;Corea del Norte,Spanish Name,2136
9037,fr,la Corée du Nord; République populaire démocratique de Corée,French Name,2136
9038,en,KP,iso-3166-2,2136
9039,en,PRK,iso-3166-3,2136
9040,en,Democratic People's Republic of Korea,abbreviation,2136
9041,de,Nördliche Marianen,German Name,2137
9042,es,Islas Marianas del Norte,Spanish Name,2137
9043,fr,Îles Mariannes du Nord,French Name,2137
9044,en,MP,iso-3166-2,2137
9045,en,MNP,iso-3166-3,2137
9046,de,Norwegen,German Name,2138
9047,es,Reino de Noruega;Noruega,Spanish Name,2138
9048,fr,la Norvège;le Royaume de Norvège,French Name,2138
9049,en,NO,iso-3166-2,2138
9050,en,NOR,iso-3166-3,2138
9051,de,Oman,German Name,2139
9052,es,Sultanato de Omán;Omán,Spanish Name,2139
9053,fr,Oman;l'Oman,French Name,2139
9054,en,OM,iso-3166-2,2139
9055,en,OMN,iso-3166-3,2139
9056,de,Pakistan,German Name,2140
9057,es,República Islámica de Pakistán;Pakistán,Spanish Name,2140
9058,fr,le Pakistan,French Name,2140
